5.1709 	EXP 	Created move_up = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, interpolate=True, mask=None, maskParams=None, name='move_up', opacity=1.0, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([1. , 0.1]), tex=ndarray(...), texRes=128.0, units='height', win=Window(...))
5.1710 	EXP 	window1: mouseVisible = True
5.1720 	EXP 	Created gray_screen_4 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([0., 0., 0.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='gray_screen_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
0.0243 	DEPRECATION 	Requiring a square power of two (e.g. 16 x 16, 256 x 256) texture but didn't receive one
0.0387 	EXP 	move_right: foreColor = 'white'
0.0387 	EXP 	move_right: autoDraw = True
0.0387 	EXP 	move_right: tex = <class 'numpy.ndarray'>
0.0722 	EXP 	move_right: foreColor = 'white'
0.0850 	EXP 	move_right: foreColor = 'white'
0.1020 	EXP 	move_right: foreColor = 'white'
0.1184 	EXP 	move_right: foreColor = 'black'
0.1349 	EXP 	move_right: foreColor = 'black'
0.1519 	EXP 	move_right: foreColor = 'black'
0.1683 	EXP 	move_right: foreColor = 'black'
0.1849 	EXP 	move_right: foreColor = 'black'
0.2014 	EXP 	move_right: foreColor = 'white'
0.2174 	EXP 	move_right: foreColor = 'white'
0.2344 	EXP 	move_right: foreColor = 'white'
0.2512 	EXP 	move_right: foreColor = 'white'
0.2676 	EXP 	move_right: foreColor = 'white'
0.2842 	EXP 	move_right: foreColor = 'black'
0.3008 	EXP 	move_right: foreColor = 'black'
0.3173 	EXP 	move_right: foreColor = 'black'
0.3340 	EXP 	move_right: foreColor = 'black'
0.3503 	EXP 	move_right: foreColor = 'black'
0.3669 	EXP 	move_right: foreColor = 'white'
0.3834 	EXP 	move_right: foreColor = 'white'
0.4003 	EXP 	move_right: foreColor = 'white'
0.4170 	EXP 	move_right: foreColor = 'white'
0.4332 	EXP 	move_right: foreColor = 'white'
0.4503 	EXP 	move_right: foreColor = 'black'
0.4665 	EXP 	move_right: foreColor = 'black'
0.4832 	EXP 	move_right: foreColor = 'black'
0.4999 	EXP 	move_right: foreColor = 'black'
0.5168 	EXP 	move_right: foreColor = 'black'
0.5333 	EXP 	move_right: foreColor = 'white'
0.5498 	EXP 	move_right: foreColor = 'white'
0.5665 	EXP 	move_right: foreColor = 'white'
0.5836 	EXP 	move_right: foreColor = 'white'
0.6002 	EXP 	move_right: foreColor = 'white'
0.6171 	EXP 	move_right: foreColor = 'black'
